25dkglcn	C02780
25dkglcn	C02780
25dkglcn	C02780
2ahbut	C06006
2ahbut	C06006
2ddglcn	C00204
2ddglcn	C00204
2ddglcn	C00204
2dh3dgal	C01216
2dh3dgal	C01216
2dh3dgal6p	C01286
2dh3dgal6p	C01286
2dhglcn	C00629
2dhglcn	C00629
2dr1p	C00672
2dr1p	C00672
2dr1p	C00672
2dr1p	C00672
2dr1p	C00672
2dr1p	C00672
2dr5p	C00673
2dr5p	C00673
2h3oppan	C01146
2h3oppan	C01146
2h3oppan	C01146
2h3oppan	C01146
2mcacn	C04225
2mcacn	C04225
2mcit	C02225
2mcit	C02225
2shchc	C05817
2shchc	C05817
3c4mop	C04236
3c4mop	C04236
3dhguln	C00618
3hmrsACP	C04688
3hmrsACP	C04688
3hmrsACP	C04688
4h2opntn	C03589
4h2opntn	C03589
4mhetz	C04294
5dglcn	C01062
5dglcn	C01062
5dglcn	C01062
5dglcn	C01062
5dglcn	C01062
5dh4dglc	C00679
5dh4dglc	C00679
5dh4dglc	C00679
5mtr	C03089
5mtr	C03089
aacald	C06735
acgam1p	C04256
acgam1p	C04256
acmana	C00645
acmana	C00645
acmanap	C04257
acmanap	C04257
acnam	C00270
acon-T	C02341
adocbi	C06508
adocbi	C06508
adocbip	C06509
adocbip	C06509
adocbl	C00194
adocbl	C00194
agdpcbi	C06510
agdpcbi	C06510
altrn	C00817
altrn	C00817
ap5a	C04058
arbt6p	C06187
but	C00246
cbl1	C00853
cinnm	C00423
crn	C00318
crn	C00318
ctbt	C04114
cyst-L	C02291
cyst-L	C02291
cytd	C00475
cytd	C00475
cytd	C00475
dha	C00184
dha	C00184
dha	C00184
dhpmp	C05925
dhpmp	C05925
dhpppn	C04044
dhpppn	C04044
dhpppn	C04044
dhptd	C11838
dhptd	C11838
hmfurn	C00596
dhptd_EC	C03589
dms	C00580
dms	C00580
dmso	C11143
dmso	C11143
dtdp4addg	C04268
dtdp4addg	C04268
dtdp4d6dg	C00687
dtdp4d6dg	C00687
dtdp4d6dg	C00687
dtdp4d6dm	C00688
dtdp4d6dm	C00688
dtdpglu	C00842
dtdpglu	C00842
dtdprmn	C03319
dxyl	C06257
fcl-L	C01721
fcl-L	C01721
fe2	C00023
fe2	C00023
for	C00058
for	C00058
for	C00058
for	C00058
for	C00058
for	C00058
for	C00058
for	C00058
for	C00058
for	C00058
for	C00058
fruur	C00905
fruur	C00905
fuc-L	C01019
g3pg	C03274
g3pg	C03274
g3pg	C03274
g3pi	C01225
gal	C00124
gal	C00124
gal	C00124
galct-D	C00879
galctn-D	C00880
galt1p	C06311
galur	C00333
gdpddman	C01222
gdpddman	C01222
gdpfuc	C00325
gdpmann	C00096
gdpmann	C00096
glcn	C00257
glcn	C00257
glcn	C00257
glcn	C00257
glcr	C00818
glcur	C00191
glycogen	C00182
glycogen	C00182
gmhep17bp	C11472
gmhep17bp	C11472
gmhep1p	C07838
gmhep1p	C07838
gmhep7p	C07836
gmhep7p	C07836
gp4g	C01261
gtspmd	C05730
gtspmd	C05730
h2mb4p	C11811
h2mb4p	C11811
h2mb4p	C11811
hdca	C00249
hdca	C00249
hdca	C00249
hdca	C00249
hdca	C00249
hdca	C00249
hdca	C00249
hdca	C00249
hkndd	C04479
hkndd	C04479
hqn	C00530
idon-L	C00770
idon-L	C00770
idon-L	C00770
idon-L	C00770
indole	C00463
indole	C00463
indole	C00463
inost	C00137
inost	C00137
kdo2lipid4	C06025
kdo2lipid4	C06025
kdo2lipid4	C06025
kdo2lipid4L	C06251
kdo2lipid4L	C06251
kdolipid4	C06024
kdolipid4	C06024
lcts	C00243
lipa	C06026
lipa_cold	C06026
lipidAds	C04932
lipidAds	C04932
lipidX	C04824
lipidX	C04824
malthx	C01936
malthx	C01936
malthx	C01936
malthx	C01936
malthx	C01936
malthx	C01936
malttr	C01835
malttr	C01835
malttr	C01835
maltttr	C02052
maltttr	C02052
maltttr	C02052
maltttr	C02052
maltttr	C02052
mana	C00514
mana	C00514
melib	C05402
mi1p-D	C01177
micit	C04593
micit	C04593
mql8	C05819
mql8	C05819
mql8	C05819
mql8	C05819
mql8	C05819
mql8	C05819
mql8	C05819
mql8	C05819
mql8	C05819
mql8	C05819
N1aspmd	C00612
n8aspmd	C01029
ncam	C00153
ncam	C00153
ocdca	C01530
op4en	C00596
op4en	C00596
op4en	C00596
orn	C01602
orn	C01602
orn	C01602
orn	C01602
pac	C07086
pac	C07086
pacald	C00601
pacald	C00601
palmACP	C05764
palmACP	C05764
palmACP	C05764
paps	C00053
paps	C00053
peamn	C05332
phaccoa	C00582
ppa	C00163
ppa	C00163
ppa	C00163
ppap	C02876
ppap	C02876
pppn	C05629
q8	C00399
q8	C00399
q8	C00399
q8	C00399
q8	C00399
q8	C00399
q8	C00399
q8	C00399
q8	C00399
q8	C00399
q8h2	C00390
q8h2	C00390
q8h2	C00390
q8h2	C00390
q8h2	C00390
q8h2	C00390
q8h2	C00390
q8h2	C00390
q8h2	C00390
q8h2	C00390
q8h2	C00390
q8h2_EC	C17569
r1p	C00442
r1p	C00442
r1p	C00442
r1p	C00442
r1p	C00442
r1p	C00442
rbl-L	C00508
rbl-L	C00508
rdmbzi	C05775
rdmbzi	C05775
rhcys	C03539
rhcys	C03539
rml	C00861
rml	C00861
rml1p	C01131
rml1p	C01131
rmn	C00507
ru5p-L	C01101
ru5p-L	C01101
ru5p-L	C01101
sbt6p	C01096
ssaltpp	C05816
ssaltpp	C05816
suc6p	C02591
sucarg	C03296
sucarg	C03296
sucgsa	C05932
sucgsa	C05932
sucorn	C03415
sucorn	C03415
tagur	C00558
tagur	C00558
tartr-L	C00898
taur	C00245
thym	C00178
tma	C00565
tma	C00565
tmao	C01104
